instrument,datetime,$open,$high,$low,$close,$factor,original_open,original_high,original_low,original_close
SH000300,2024-01-02,3.4862647,3.4862647,3.4456496,3.4456496,0.0010175107,3426.2686,3426.2686,3386.3523,3386.3523
SH000300,2024-01-03,3.4389372,3.452267,3.4215496,3.4374588,0.0010175123,3379.75,3392.8503,3362.6616,3378.297
SH000300,2024-01-04,3.43412,3.43412,3.3820682,3.4056613,0.0010175108,3375.0208,3375.0208,3323.8647,3347.0518
SH000300,2024-01-05,3.3998156,3.4316008,3.3715777,3.3874073,0.0010175109,3341.3064,3372.5444,3313.5544,3329.1116
SH000300,2024-01-08,3.3807921,3.391894,3.3408415,3.3436034,0.0010175125,3322.605,3333.5159,3283.342,3286.0562
SH000300,2024-01-09,3.3442638,3.3624694,3.3311732,3.350156,0.0010175116,3286.7083,3304.6006,3273.843,3292.4993
SH000300,2024-01-10,3.3391368,3.370931,3.3254795,3.334517,0.0010175117,3281.6692,3312.916,3268.2468,3277.129
SH600519,2024-01-02,227.3557,227.7786,222.4639,223.37996,0.13256893,1714.9999,1718.19,1678.0999,1685.01
SH600519,2024-01-03,222.86298,224.73352,222.2293,224.5718,0.13256894,1681.11,1695.22,1676.33,1694.0
SH600519,2024-01-04,224.43912,224.43912,220.45277,221.25746,0.13256888,1693.0,1693.0,1662.93,1669.0
SH600519,2024-01-05,220.24075,222.53818,219.01846,220.50987,0.13256894,1661.33,1678.66,1652.11,1663.36
SH600519,2024-01-08,220.19696,220.32953,217.41434,217.94196,0.13256891,1661.0,1662.0,1640.01,1643.99
SH600519,2024-01-09,217.54697,219.04633,216.7595,217.54564,0.13256894,1641.0101,1652.3201,1635.0701,1641.0
SH600519,2024-01-10,217.55891,219.99289,217.14795,217.61194,0.13256896,1641.1,1659.4601,1638.0,1641.5
SZ000030,2024-01-02,10.11635,10.2487135,10.021805,10.173077,1.8909065,5.3500004,5.42,5.3,5.38
SZ000030,2024-01-03,10.172431,10.266971,10.058984,10.134615,1.8907864,5.38,5.4300003,5.32,5.3599997
SZ000030,2024-01-04,10.152874,10.171781,10.05834,10.096154,1.8906655,5.37,5.38,5.3199997,5.34
SZ000030,2024-01-05,10.117962,10.250346,9.947753,9.985577,1.8912077,5.3500004,5.42,5.26,5.28
SZ000030,2024-01-08,9.982659,10.039378,9.8125,9.8125,1.8906552,5.28,5.3099995,5.19,5.19
SZ000030,2024-01-09,9.851284,9.964734,9.794559,9.870193,1.8908415,5.21,5.2699995,5.18,5.22
SZ000030,2024-01-10,9.888453,9.907359,9.737195,9.831731,1.8907175,5.23,5.24,5.15,5.2
