instrument,datetime,$open,$high,$low,$close,$volume,$factor
SH600519,2024-01-02,227.3557,227.7786,222.4639,223.37996,242563.94,0.13256893
SH600519,2024-01-03,222.86298,224.73352,222.2293,224.5718,152594.48,0.13256894
SH600519,2024-01-04,224.43912,224.43912,220.45277,221.25746,162565.08,0.13256888
SH600519,2024-01-05,220.24075,222.53818,219.01846,220.50987,152696.86,0.13256894
SH600519,2024-01-08,220.19696,220.32953,217.41434,217.94196,193001.52,0.13256891
SH600519,2024-01-09,217.54697,219.04633,216.7595,217.54564,184146.0,0.13256894
SH600519,2024-01-10,217.55891,219.99289,217.14795,217.61194,130880.336,0.13256896
SZ000030,2024-01-02,10.11635,10.2487135,10.021805,10.173077,59287.02,1.8909065
SZ000030,2024-01-03,10.172431,10.266971,10.058984,10.134615,43012.58,1.8907864
SZ000030,2024-01-04,10.152874,10.171781,10.05834,10.096154,34457.496,1.8906655
SZ000030,2024-01-05,10.117962,10.250346,9.947753,9.985577,35579.91,1.8912077
SZ000030,2024-01-08,9.982659,10.039378,9.8125,9.8125,37165.953,1.8906552
SZ000030,2024-01-09,9.851284,9.964734,9.794559,9.870193,38847.254,1.8908415
SZ000030,2024-01-10,9.888453,9.907359,9.737195,9.831731,26550.133,1.8907175
